Max_Monthly_Temperature (Â°C),Year,Month
32.1,1983,1
34.6,1983,2
35.8,1983,3
35.8,1983,4
34.0,1983,5
33.6,1983,6
33.0,1983,7
32.7,1983,8
32.8,1983,9
33.7,1983,10
32.6,1983,11
31.3,1983,12
31.7,1984,1
31.5,1984,2
32.8,1984,3
32.7,1984,4
32.9,1984,5
32.7,1984,6
33.0,1984,7
32.8,1984,8
32.4,1984,9
33.4,1984,10
32.7,1984,11
32.2,1984,12
33.0,1985,1
33.7,1985,2
33.3,1985,3
34.2,1985,4
33.6,1985,5
35.0,1985,6
33.3,1985,7
33.0,1985,8
32.5,1985,9
33.4,1985,10
33.0,1985,11
32.4,1985,12
31.4,1986,1
33.2,1986,2
32.7,1986,3
32.8,1986,4
33.4,1986,5
33.2,1986,6
33.2,1986,7
34.2,1986,8
32.4,1986,9
32.6,1986,10
32.8,1986,11
32.0,1986,12
31.4,1987,1
33.0,1987,2
33.3,1987,3
34.6,1987,4
33.2,1987,5
33.5,1987,6
33.7,1987,7
33.8,1987,8
33.6,1987,9
33.7,1987,10
33.3,1987,11
32.8,1987,12
33.1,1988,1
33.8,1988,2
34.7,1988,3
33.7,1988,4
34.2,1988,5
33.6,1988,6
33.8,1988,7
32.7,1988,8
33.3,1988,9
34.5,1988,10
32.8,1988,11
31.6,1988,12
32.8,1989,1
33.3,1989,2
32.5,1989,3
34.5,1989,4
33.3,1989,5
33.2,1989,6
32.7,1989,7
33.3,1989,8
32.7,1989,9
32.9,1989,10
32.8,1989,11
32.0,1989,12
32.1,1990,1
34.0,1990,2
34.7,1990,3
35.0,1990,4
34.6,1990,5
33.8,1990,6
33.5,1990,7
33.9,1990,8
33.3,1990,9
33.3,1990,10
34.0,1990,11
31.8,1990,12
33.1,1991,1
33.5,1991,2
34.0,1991,3
34.1,1991,4
33.2,1991,5
33.6,1991,6
34.0,1991,7
33.6,1991,8
32.5,1991,9
33.4,1991,10
32.6,1991,11
31.5,1991,12
31.8,1992,1
33.1,1992,2
34.7,1992,3
34.6,1992,4
34.1,1992,5
33.6,1992,6
33.5,1992,7
33.6,1992,8
34.0,1992,9
32.9,1992,10
32.0,1992,11
31.4,1992,12
31.6,1993,1
32.7,1993,2
32.2,1993,3
33.5,1993,4
34.2,1993,5
33.3,1993,6
32.8,1993,7
33.9,1993,8
33.2,1993,9
33.2,1993,10
32.5,1993,11
32.9,1993,12
32.4,1994,1
32.5,1994,2
32.2,1994,3
33.6,1994,4
32.6,1994,5
33.1,1994,6
32.7,1994,7
32.9,1994,8
34.1,1994,9
34.2,1994,10
32.5,1994,11
32.6,1994,12
32.8,1995,1
32.4,1995,2
33.2,1995,3
33.5,1995,4
34.0,1995,5
34.0,1995,6
33.0,1995,7
32.4,1995,8
33.0,1995,9
34.1,1995,10
33.3,1995,11
32.5,1995,12
32.5,1996,1
32.0,1996,2
34.4,1996,3
33.6,1996,4
33.3,1996,5
33.9,1996,6
33.3,1996,7
33.1,1996,8
33.2,1996,9
33.1,1996,10
33.6,1996,11
33.0,1996,12
33.3,1997,1
33.7,1997,2
34.2,1997,3
34.4,1997,4
35.1,1997,5
34.7,1997,6
34.0,1997,7
34.0,1997,8
33.8,1997,9
34.5,1997,10
33.7,1997,11
32.9,1997,12
33.6,1998,1
34.6,1998,2
36.0,1998,3
34.8,1998,4
34.8,1998,5
34.7,1998,6
33.6,1998,7
32.8,1998,8
33.1,1998,9
34.5,1998,10
34.1,1998,11
32.6,1998,12
32.8,1999,1
33.0,1999,2
33.0,1999,3
34.4,1999,4
34.2,1999,5
33.7,1999,6
32.9,1999,7
32.9,1999,8
33.9,1999,9
32.5,1999,10
33.4,1999,11
33.0,1999,12
31.8,2000,1
32.4,2000,2
34.0,2000,3
33.4,2000,4
34.2,2000,5
33.3,2000,6
33.1,2000,7
33.3,2000,8
34.3,2000,9
34.1,2000,10
34.2,2000,11
32.6,2000,12
32.8,2001,1
32.4,2001,2
33.7,2001,3
33.5,2001,4
33.5,2001,5
33.6,2001,6
33.7,2001,7
33.7,2001,8
33.1,2001,9
34.0,2001,10
33.2,2001,11
33.2,2001,12
33.5,2002,1
32.5,2002,2
34.8,2002,3
34.3,2002,4
34.1,2002,5
33.3,2002,6
33.0,2002,7
33.6,2002,8
33.2,2002,9
34.6,2002,10
34.0,2002,11
33.0,2002,12
32.4,2003,1
32.6,2003,2
33.5,2003,3
33.7,2003,4
34.3,2003,5
34.3,2003,6
32.8,2003,7
33.1,2003,8
32.9,2003,9
33.0,2003,10
33.0,2003,11
32.2,2003,12
32.0,2004,1
34.0,2004,2
33.7,2004,3
35.1,2004,4
34.3,2004,5
33.7,2004,6
32.9,2004,7
33.5,2004,8
33.1,2004,9
34.2,2004,10
32.5,2004,11
32.7,2004,12
32.4,2005,1
34.7,2005,2
35.0,2005,3
35.1,2005,4
35.4,2005,5
33.9,2005,6
33.9,2005,7
33.6,2005,8
33.1,2005,9
33.0,2005,10
33.6,2005,11
33.5,2005,12
32.0,2006,1
33.3,2006,2
34.6,2006,3
34.1,2006,4
33.8,2006,5
32.7,2006,6
33.1,2006,7
33.1,2006,8
32.8,2006,9
33.6,2006,10
33.2,2006,11
32.7,2006,12
32.7,2007,1
33.3,2007,2
33.5,2007,3
33.7,2007,4
33.4,2007,5
34.0,2007,6
33.0,2007,7
32.5,2007,8
32.6,2007,9
33.7,2007,10
33.5,2007,11
31.8,2007,12
33.5,2008,1
33.4,2008,2
32.7,2008,3
33.3,2008,4
34.1,2008,5
32.9,2008,6
32.7,2008,7
32.7,2008,8
32.9,2008,9
33.3,2008,10
33.0,2008,11
32.6,2008,12
32.6,2009,1
35.0,2009,2
33.2,2009,3
34.7,2009,4
33.6,2009,5
33.7,2009,6
33.1,2009,7
33.5,2009,8
33.0,2009,9
33.9,2009,10
34.1,2009,11
32.6,2009,12
32.3,2010,1
35.2,2010,2
35.5,2010,3
34.5,2010,4
35.2,2010,5
33.5,2010,6
33.4,2010,7
33.1,2010,8
33.2,2010,9
34.1,2010,10
33.1,2010,11
33.6,2010,12
32.4,2011,1
33.5,2011,2
33.5,2011,3
33.1,2011,4
35.3,2011,5
33.1,2011,6
32.9,2011,7
32.5,2011,8
32.4,2011,9
32.5,2011,10
32.5,2011,11
32.3,2011,12
32.5,2012,1
32.9,2012,2
33.2,2012,3
32.9,2012,4
33.7,2012,5
32.7,2012,6
32.1,2012,7
32.7,2012,8
32.7,2012,9
33.1,2012,10
32.8,2012,11
32.2,2012,12
35.2,2013,1
32.5,2013,2
33.8,2013,3
34.9,2013,4
33.9,2013,5
34.5,2013,6
33.5,2013,7
32.8,2013,8
32.9,2013,9
33.2,2013,10
32.9,2013,11
33.7,2013,12
31.8,2014,1
33.8,2014,2
34.4,2014,3
34.5,2014,4
33.8,2014,5
33.6,2014,6
33.2,2014,7
31.9,2014,8
33.2,2014,9
34.1,2014,10
33.4,2014,11
33.6,2014,12
32.4,2015,1
33.6,2015,2
34.4,2015,3
34.4,2015,4
34.2,2015,5
34.3,2015,6
32.7,2015,7
33.1,2015,8
33.2,2015,9
33.6,2015,10
33.6,2015,11
33.1,2015,12
32.8,2016,1
32.7,2016,2
34.1,2016,3
35.0,2016,4
34.6,2016,5
33.4,2016,6
33.4,2016,7
33.8,2016,8
34.4,2016,9
34.6,2016,10
32.6,2016,11
33.6,2016,12
33.7,2017,1
32.4,2017,2
33.3,2017,3
34.4,2017,4
32.8,2017,5
33.0,2017,6
32.4,2017,7
33.0,2017,8
32.4,2017,9
34.6,2017,10
32.5,2017,11
33.5,2017,12
33.2,2018,1
33.5,2018,2
34.2,2018,3
35.0,2018,4
34.2,2018,5
33.4,2018,6
33.0,2018,7
33.2,2018,8
33.0,2018,9
34.5,2018,10
33.4,2018,11
33.8,2018,12
33.4,2019,1
34.1,2019,2
34.8,2019,3
34.5,2019,4
34.7,2019,5
33.0,2019,6
