Total_Monthly_Rainfall (mm),Year,Month
246.0,1983,1
5.6,1983,2
18.6,1983,3
33.6,1983,4
160.8,1983,5
94.0,1983,6
190.0,1983,7
262.2,1983,8
170.8,1983,9
212.7,1983,10
228.8,1983,11
370.6,1983,12
251.2,1984,1
470.4,1984,2
361.3,1984,3
153.1,1984,4
186.5,1984,5
255.0,1984,6
127.2,1984,7
102.7,1984,8
186.7,1984,9
187.5,1984,10
127.7,1984,11
277.4,1984,12
111.1,1985,1
79.3,1985,2
88.0,1985,3
110.5,1985,4
70.1,1985,5
37.0,1985,6
131.8,1985,7
56.9,1985,8
110.7,1985,9
169.0,1985,10
179.4,1985,11
340.1,1985,12
308.2,1986,1
26.7,1986,2
353.4,1986,3
150.0,1986,4
145.1,1986,5
122.9,1986,6
109.7,1986,7
72.9,1986,8
396.0,1986,9
227.3,1986,10
256.7,1986,11
367.2,1986,12
568.6,1987,1
86.9,1987,2
132.5,1987,3
72.5,1987,4
270.0,1987,5
126.6,1987,6
80.9,1987,7
191.9,1987,8
129.9,1987,9
22.6,1987,10
347.6,1987,11
72.8,1987,12
237.5,1988,1
158.1,1988,2
186.8,1988,3
109.6,1988,4
229.6,1988,5
252.2,1988,6
305.4,1988,7
80.1,1988,8
440.4,1988,9
134.6,1988,10
401.4,1988,11
62.9,1988,12
189.7,1989,1
52.4,1989,2
305.9,1989,3
198.6,1989,4
194.0,1989,5
117.6,1989,6
157.6,1989,7
201.0,1989,8
247.3,1989,9
111.0,1989,10
508.4,1989,11
179.7,1989,12
147.4,1990,1
24.1,1990,2
94.2,1990,3
52.4,1990,4
180.1,1990,5
112.6,1990,6
124.0,1990,7
146.6,1990,8
204.5,1990,9
56.4,1990,10
180.4,1990,11
201.1,1990,12
123.9,1991,1
45.5,1991,2
92.4,1991,3
134.2,1991,4
256.4,1991,5
88.7,1991,6
37.3,1991,7
226.2,1991,8
123.1,1991,9
52.0,1991,10
205.0,1991,11
492.3,1991,12
83.9,1992,1
62.4,1992,2
67.6,1992,3
160.3,1992,4
63.1,1992,5
162.8,1992,6
290.8,1992,7
76.1,1992,8
83.6,1992,9
233.2,1992,10
474.3,1992,11
502.7,1992,12
176.4,1993,1
69.2,1993,2
250.5,1993,3
283.9,1993,4
129.9,1993,5
115.5,1993,6
240.0,1993,7
106.8,1993,8
61.7,1993,9
175.5,1993,10
250.8,1993,11
308.5,1993,12
56.9,1994,1
133.5,1994,2
288.2,1994,3
154.0,1994,4
169.6,1994,5
184.7,1994,6
53.8,1994,7
45.1,1994,8
23.7,1994,9
84.7,1994,10
322.2,1994,11
425.4,1994,12
349.4,1995,1
334.0,1995,2
67.7,1995,3
242.3,1995,4
84.4,1995,5
63.7,1995,6
173.6,1995,7
211.6,1995,8
29.5,1995,9
101.1,1995,10
372.8,1995,11
302.5,1995,12
173.2,1996,1
180.2,1996,2
129.7,1996,3
178.2,1996,4
107.5,1996,5
265.8,1996,6
162.3,1996,7
258.4,1996,8
297.0,1996,9
300.0,1996,10
180.2,1996,11
185.5,1996,12
15.4,1997,1
105.4,1997,2
34.3,1997,3
118.4,1997,4
41.6,1997,5
78.9,1997,6
18.6,1997,7
86.6,1997,8
31.1,1997,9
78.4,1997,10
158.3,1997,11
351.9,1997,12
268.8,1998,1
32.5,1998,2
58.8,1998,3
187.7,1998,4
370.8,1998,5
198.8,1998,6
259.2,1998,7
195.0,1998,8
258.2,1998,9
222.7,1998,10
107.2,1998,11
463.4,1998,12
193.9,1999,1
67.4,1999,2
181.4,1999,3
88.5,1999,4
157.1,1999,5
103.4,1999,6
225.4,1999,7
204.0,1999,8
125.9,1999,9
205.0,1999,10
241.5,1999,11
340.5,1999,12
275.2,2000,1
237.8,2000,2
238.3,2000,3
311.6,2000,4
96.8,2000,5
157.5,2000,6
116.1,2000,7
113.5,2000,8
81.1,2000,9
120.9,2000,10
385.7,2000,11
236.0,2000,12
425.8,2001,1
86.6,2001,2
297.3,2001,3
203.3,2001,4
164.9,2001,5
137.1,2001,6
111.3,2001,7
158.3,2001,8
162.0,2001,9
252.2,2001,10
175.3,2001,11
609.0,2001,12
221.2,2002,1
50.8,2002,2
55.6,2002,3
116.5,2002,4
236.6,2002,5
83.1,2002,6
233.7,2002,7
54.2,2002,8
124.2,2002,9
10.8,2002,10
307.2,2002,11
255.0,2002,12
444.2,2003,1
172.9,2003,2
154.6,2003,3
159.9,2003,4
81.8,2003,5
50.3,2003,6
170.4,2003,7
193.6,2003,8
205.3,2003,9
351.4,2003,10
133.8,2003,11
273.0,2003,12
600.9,2004,1
31.9,2004,2
269.4,2004,3
57.1,2004,4
137.6,2004,5
127.2,2004,6
166.6,2004,7
185.2,2004,8
128.9,2004,9
125.6,2004,10
166.2,2004,11
139.8,2004,12
163.2,2005,1
8.4,2005,2
82.4,2005,3
81.7,2005,4
331.1,2005,5
82.3,2005,6
104.0,2005,7
58.5,2005,8
175.7,2005,9
314.5,2005,10
362.9,2005,11
166.0,2005,12
454.4,2006,1
115.5,2006,2
83.1,2006,3
239.8,2006,4
205.7,2006,5
236.8,2006,6
153.8,2006,7
127.3,2006,8
83.3,2006,9
102.0,2006,10
185.6,2006,11
765.9,2006,12
450.1,2007,1
105.5,2007,2
269.1,2007,3
240.2,2007,4
127.2,2007,5
139.0,2007,6
141.7,2007,7
190.7,2007,8
149.0,2007,9
237.2,2007,10
367.9,2007,11
468.6,2007,12
262.6,2008,1
129.2,2008,2
294.1,2008,3
87.2,2008,4
124.9,2008,5
118.3,2008,6
89.1,2008,7
327.3,2008,8
164.4,2008,9
159.5,2008,10
324.3,2008,11
244.2,2008,12
38.3,2009,1
201.8,2009,2
223.3,2009,3
183.7,2009,4
198.6,2009,5
21.8,2009,6
161.0,2009,7
177.8,2009,8
109.6,2009,9
133.4,2009,10
281.8,2009,11
189.8,2009,12
69.5,2010,1
6.3,2010,2
238.0,2010,3
158.5,2010,4
157.5,2010,5
240.5,2010,6
298.5,2010,7
158.4,2010,8
121.5,2010,9
166.2,2010,10
278.8,2010,11
181.4,2010,12
513.2,2011,1
23.0,2011,2
256.6,2011,3
217.8,2011,4
127.0,2011,5
213.0,2011,6
76.6,2011,7
81.4,2011,8
136.4,2011,9
216.8,2011,10
377.8,2011,11
284.6,2011,12
106.1,2012,1
83.6,2012,2
313.4,2012,3
260.6,2012,4
292.0,2012,5
53.0,2012,6
130.8,2012,7
119.0,2012,8
107.6,2012,9
122.2,2012,10
208.2,2012,11
363.4,2012,12
262.0,2013,1
395.2,2013,2
85.8,2013,3
159.4,2013,4
211.4,2013,5
111.4,2013,6
174.6,2013,7
165.6,2013,8
257.0,2013,9
285.4,2013,10
292.4,2013,11
348.2,2013,12
75.4,2014,1
0.2,2014,2
66.0,2014,3
110.0,2014,4
125.8,2014,5
71.4,2014,6
148.6,2014,7
241.0,2014,8
83.6,2014,9
120.0,2014,10
250.8,2014,11
245.6,2014,12
79.6,2015,1
18.8,2015,2
84.4,2015,3
73.2,2015,4
89.0,2015,5
95.8,2015,6
116.8,2015,7
185.8,2015,8
61.6,2015,9
87.2,2015,10
72.6,2015,11
302.3,2015,12
126.6,2016,1
186.0,2016,2
6.2,2016,3
89.8,2016,4
193.8,2016,5
162.8,2016,6
168.6,2016,7
139.2,2016,8
118.9,2016,9
181.0,2016,10
290.2,2016,11
292.6,2016,12
197.6,2017,1
158.4,2017,2
136.2,2017,3
208.6,2017,4
190.0,2017,5
106.0,2017,6
79.6,2017,7
84.2,2017,8
124.4,2017,9
120.8,2017,10
268.6,2017,11
371.2,2017,12
287.0,2018,1
14.8,2018,2
44.6,2018,3
61.2,2018,4
132.2,2018,5
182.6,2018,6
143.2,2018,7
121.6,2018,8
144.4,2018,9
234.4,2018,10
169.6,2018,11
172.6,2018,12
63.6,2019,1
31.6,2019,2
72.2,2019,3
174.8,2019,4
69.0,2019,5
173.8,2019,6
